"","3 Last (C)","2 Last (C)","1a Last (C)","1b Last (C)","5 Last (C)","4 Last (C)","T mean Last","range Last"
"00:00:00","24.065","24.282","24.795","24.784","24.287","24.002","24.369","0.793"
"00:00:10","24.057","24.288","24.801","24.761","24.272","24.000","24.363","0.801"
"00:00:20","24.764","25.188","24.925","24.995","25.056","24.864","24.965","0.423"
"00:00:30","28.453","28.088","27.660","27.964","28.385","27.634","28.031","0.819"
"00:00:40","31.443","32.248","30.558","30.895","31.971","31.611","31.455","1.690"
"00:00:50","35.403","35.808","35.051","34.910","36.022","35.045","35.373","1.112"
"00:01:00","39.278","39.265","38.505","38.870","39.468","38.908","39.049","0.963"
"00:01:10","42.128","43.132","42.391","42.746","43.335","42.694","42.738","1.208"
"00:01:20","45.752","46.723","46.082","45.579","46.862","45.778","46.129","1.283"
"00:01:30","47.615","48.400","47.915","48.097","48.325","47.541","47.982","0.860"
"00:01:40","47.736","48.395","48.993","48.911","48.335","47.716","48.348","1.277"
"00:01:50","47.863","48.403","49.301","49.337","48.406","47.896","48.534","1.474"
"00:02:00","47.972","48.425","49.451","49.453","48.451","47.992","48.624","1.481"
"00:02:10","48.037","48.417","49.526","49.540","48.453","48.064","48.673","1.503"
"00:02:20","48.056","48.377","49.553","49.571","48.427","48.092","48.680","1.515"
"00:02:30","48.063","48.329","49.567","49.569","48.390","48.088","48.668","1.506"
"00:02:40","48.048","48.289","49.556","49.562","48.362","48.083","48.650","1.514"
"00:02:50","48.025","48.243","49.535","49.549","48.314","48.063","48.621","1.525"
"00:03:00","48.011","48.211","49.541","49.548","48.291","48.056","48.610","1.537"
"00:03:10","48.003","48.206","49.524","49.539","48.264","48.050","48.598","1.536"
"00:03:20","48.020","48.210","49.531","49.541","48.278","48.058","48.606","1.522"
"00:03:30","48.046","48.241","49.554","49.554","48.310","48.099","48.634","1.508"
"00:03:40","48.082","48.280","49.576","49.572","48.350","48.117","48.663","1.494"
"00:03:50","48.111","48.295","49.588","49.600","48.353","48.141","48.681","1.488"
"00:04:00","48.114","48.299","49.600","49.602","48.369","48.155","48.690","1.488"
"00:04:10","48.112","48.293","49.593","49.592","48.366","48.153","48.685","1.481"
"00:04:20","48.115","48.307","49.585","49.586","48.373","48.150","48.686","1.471"
"00:04:30","48.112","48.321","49.589","49.579","48.367","48.139","48.685","1.477"
"00:04:40","48.091","48.298","49.580","49.583","48.362","48.140","48.676","1.492"
"00:04:50","48.088","48.285","49.585","49.573","48.338","48.110","48.663","1.497"
"00:05:00","48.065","48.268","49.584","49.578","48.318","48.093","48.651","1.519"
"00:05:10","48.036","48.254","49.571","49.564","48.301","48.070","48.633","1.535"
"00:05:20","48.043","48.244","49.556","49.565","48.299","48.075","48.630","1.522"
"00:05:30","48.060","48.260","49.564","49.563","48.315","48.083","48.641","1.504"
"00:05:40","48.093","48.306","49.573","49.575","48.368","48.121","48.673","1.482"
"00:05:50","48.123","48.343","49.601","49.605","48.392","48.139","48.701","1.481"
"00:06:00","48.143","48.359","49.623","49.626","48.425","48.165","48.724","1.482"
"00:06:10","48.152","48.367","49.636","49.633","48.420","48.171","48.730","1.484"
"00:06:20","48.154","48.368","49.614","49.618","48.434","48.172","48.727","1.463"
"00:06:30","48.144","48.380","49.622","49.620","48.427","48.164","48.726","1.478"
