,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,T mean Last,range Last
temp,temp = 50,,,,,,,
mean value,48.11999999999999,48.45817999999999,49.665879999999994,49.657560000000004,48.470879999999994,48.141619999999996,48.75242,1.5465
std dev,0.04241462012089661,0.044798968738130475,0.02044371786148478,0.019950097744121268,0.04798151310661194,0.03879066382520438,0.034952018539706475,0.024387906839251315
std uncertainty,0.005998333101787475,0.0063355309169792415,0.0028911783065040863,0.0028213698800405185,0.0067856106578553016,0.005485828287505943,0.004942961865116876,0.003448970860996077
all sensor average,48.8745,,,,,,,
combined wafer uncertainty,0.011767858938651428,,,,,,,
 ,,,,,,,,
temp,temp = 85,,,,,,,
mean value,86.16352,86.29591999999998,86.30264,86.33924,86.68172,86.34261999999998,86.35430000000001,0.5180799999999999
std dev,0.00485897108449991,0.006399499980467715,0.006333277192732578,0.005697578432984437,0.006855771291400302,0.006396530309472704,0.003634556369078143,0.0069046071575434385
std uncertainty,0.0006871622806878478,0.0009050259664783799,0.0008956606500230614,0.0008057592692611037,0.0009695524740826416,0.0009046059915786868,0.0005140038910359823,0.0009764589085056275
all sensor average,86.356608,,,,,,,
combined wafer uncertainty,0.0019190497648575824,,,,,,,
 ,,,,,,,,
temp,temp = 125,,,,,,,
mean value,125.05264000000001,125.34501999999999,125.48958,125.55508,126.00480000000002,125.45532000000001,125.48383999999999,0.95288
std dev,0.006796351962632365,0.00629123199381556,0.006633520935370808,0.005782179519870003,0.00787400787401236,0.006512879547480477,0.0034949105854088164,0.009723456175661
std uncertainty,0.0009611493120215693,0.0008897145609689492,0.0009381215273087255,0.0008177236697076109,0.001113552872566082,0.0009210602586149236,0.0004942549949166441,0.0013751043596760212
all sensor average,125.48942400000001,,,,,,,
combined wafer uncertainty,0.002122296868960612,,,,,,,
 ,,,,,,,,
temp,temp = 150,,,,,,,
mean value,150.13618000000002,150.54485999999997,150.60842000000002,150.84228000000002,151.27266,150.65296,150.67617999999996,1.1364199999999998
std dev,0.008019201955304988,0.0062578270989219805,0.007034458045934379,0.008877026529193881,0.008444193271119246,0.0069078506063742886,0.0045329460618898825,0.00755536895194401
std uncertainty,0.0011340864164601156,0.0008849903954281345,0.0009948225972504939,0.001255401131113175,0.0011941892647316468,0.0009769176014381728,0.0006410553798230382,0.0010684905240571816
all sensor average,150.68088,,,,,,,
combined wafer uncertainty,0.0024619406979048382,,,,,,,
 ,,,,,,,,
